,location,date,job,rating,review_title,review_content
0," Toronto, ON ", 2 November 2020,Financial Advisor,4.0,A Great Place to Start Your Career in Financial Services,"If you are just out of school or finishing a degree, Scotiabank is a great place to learn the fundamentals of customer service and financial products."
1," Montréal, QC ", 23 June 2021,Agent de perception,1.0,Poor management ,"Poor management and leadership, one team leader say something and the other one says otherwise, very disappointed. A lot of favouritism towards teamlead friends. When you have a question nobody knows the answer. The teamlead doesn’t care, doesn’t provide you with the right info and then penalizes you. quality department protocol very ununfaire and looks for anything to penalize agents. The job itself is easy, the real problem is the management I do not recommend this job."
2," Calgary, AB ", 12 June 2021,Customer Service Representative,1.0,This corporation is the devil - do not work here,"I worked as CSR and it was the worst job I've ever had in customer service. Management is completely in it for themselves and do not care at all about their employees. The training is very very minimal and you are expected to learn a complicated system all on your own, then get blamed for when you mess up. Horrible place to be in I was bullied and shamed for not knowing things in front of my colleagues and customers!! Horrible work culture and they don't even car about their clients. They just want their money and to sell as much as they can to clients when they don't need it."
3," Sackville, NB ", 9 June 2021,Scotiabank Senior Financial Advisor,1.0,"Poor management, bad support teams no work life balance ","Thave been working for 15 years including 4 companies and 2 banks and scotiabank is by  a wide margin the worst. No support , zero training , no work life balance , systems always crashing and out of date shocking given the bank reports. Billion dollar profits could write 1000 page book about why this is a terrible company to work for   My only advise to anyone applying or thinking about banking with scotiabank is run the other way"
4," Trenton, ON ", 7 June 2021,Financial Advisor,1.0,Toxic envirnoment,The culture in this bank was toxic for myself and several others I know at other locations. This bank only cares about sales not the clients best interest. I've worked at 2 other bigger banks that were hard targets but healthy culture. 
5, Operations Support (Former Employee) , 44 King Street West ,Support Officer Support and Administrative Services - Operations Support,5.0,"Considerate, organized","I've worked at Scotiabank for 20 years.  Loved all the departments I've worked at.  Staff very supportive.  New tasks or courses allows you to grow.  Award programs and bonuses in place.  Due to family reasons, moved away from Downtown Toronto and my job was not tranferable... I miss the people I worked with over the years.  Great company to work for!"
6," Toronto, ON ", 2 May 2021,Client Administrator,1.0,Worst experience of my life,"I spent all of 5 months at Scotiabank but by the first month I knew it wasn’t a good place to work. I was a client administrator that came in on a 6 month contract that could be made permanent at the end of the contract. First off, the training is horrible. They give you a run through for 2 weeks then you’re on your own. I actually didn’t mind that, but when you asked someone for help they acted as if you should already know. If you made a mistake the “team lead (s)” and the manager would make you feel like trash. The manager was absolutely no help, treated us like high school students, and talked down to us all the time and yes you do have to suck up, be a know it all, etc. It was such a toxic environment. Also, Scotiabank is so cheap and they treat their employees like bums. Plus we had to physically come in to a depressing office daily during the pandemic when literally all of our work was digital and could have been done remotely. In total, this was the worst work experience of my life, but I’m glad I had this experience so I know what to avoid in the future. "
7," Grande Prairie, AB ", 23 April 2021,Customer Representative,2.0,"If you want to have a second job, work here.","I worked for Scotiabank for 3 years and received less than $1 increase in salary over those 3 years. It wasn't because I wasn't good at my job. I received the ""best of the best"" award twice while working there. They do not have full time customer representative positions available so don't expect to ever make enough money to live. I always had to have a second job to make enough to actually pay for things I needed. Their benefits are decent and I did really enjoy the people I worked with. But as a company who's CEO made millions last year, I'd say they pay their employees like absolute garbage. I recently was offered a job from a credit union and was offered $7 more per hour as a starting salary!! Just goes to show how much Scotiabank doesn't care about making sure they're employees actually make a living wage."
8," Toronto, ON ", 20 April 2021,Project Leader,1.0,Not very good place to work.,"If you got job here after your long search, do not stick for a longer time. Very very slow career growth.Upper management is not ready to listen to your suggestions."
9," Ottawa, ON ", 14 April 2021,Customer Care Advisor,1.0,Horrible place to work with no seniority status.,"Scotia contact center is an awful place to work.  You are only a number that gains NOTHING with seniority other then an extra week off work.  The new hires make more then the tenured employee!  Would you want to come to work everyday knowing your just a number and mean nothing to them?? Vacation requests are on a first come first served basis, so a tenured agent who is off that day, gets shafted due to the fact that a new hire requested first!!"
10," Tillsonburg, ON ", 5 April 2021,Customer Service Representative,2.0,Ok,There was only 2 of us on contracted because at the time they never hire or took forever to get hired on at Xmas all the staff got a bonus but us 2 on contract made us feel terrible no one cared lol was a total joke bunch of jerks 
11," Toronto, ON ", 2 April 2021,Manager,1.0,Nightmare ,"The environment is toxic.  You can’t trust your leadership.  Everyone is out for themselves and staff are worked to the point of exhaustion where it affects their mental health.  They do not accommodate for disabilities and treat you like you don’t matter.  If you ask for help or support, it is turned around on you that you can’t do your job.  It was a horrible place to work.  I gave them my heart and they took my soul."
12," Bridgewater, NS ", 27 March 2021,Financial Advisor,1.0,Toxic Work Environment,Manager has no connection to employees and consistently downplays achievements or twists everything into a negative statement. Manager strives to bring out the worst in the employees to feed their own ego.
13, Quebec Province , 22 March 2021,Gestion des avoir et spécialiste des placements,1.0,Not recommended ,"Even if you are sales machine, you will be exhausted, and you will never have a life balance.Horrible Human Resources. You should be more careful with your income taxes."
14, British Columbia , 17 March 2021,Small Business Advisor,1.0,Use it as a placeholder,"Decent pay, but no increments in pay should be expected as it wont happen. No support from management, stressful environment is created and unreasonable expectations is a norm, favourism, fakism very common. Use it as a placeholder and move on"
15," Halifax, NS ", 15 March 2021,VSBA,1.0,Very streessful and demanding job,6 branches with 6 branch managers to deal with it. It's hard to meet the goal. The managers'll not promote you for new jobs and skills. It's a dead end jobs!!! 
16," Toronto, ON ", 10 March 2021,Senior ETL Developer,5.0,Excellent place to work,Scotiabank is an excellent place to work where you have a lot of room for growth and self development.Work environment is very good too. Team was so good and collaboration was the key.
17, Nova Scotia , 8 March 2021,Customer Service/Cashier,1.0,Terrible workplace,"Terrible workplace, no pros. Very poor management and job culture in  every branch. The worst coworkers I've ever had, rolling eyes at customers and coworkers. I wouldn't recommend this place to my worst enemy. "
18," Calgary, AB ", 3 March 2021,Financial Advisor,1.0,Do not Recommend (see why below),very low payno work like balancethey say they are all about diversity and inclusion but they do NOT even know the meaning of diversity AND inclusion. All about sales but then also want you to do the right thing?i would not recommend this companyThey say they have departments to help employees but when you call its like you are running in circles...no one knows the answers....very long and confusing policies..no clear answer...so many steps to get ONE SIMPLE solution. 
19," Mississauga, ON ", 1 March 2021,Administrative Assistant,4.0,Sales Oriented,I loved working there however banking had become a sales environment. I am not a sales person. I worked there 25 years ago so do not know current conditions and procedures. 
20," Ottawa, ON ", 25 February 2021,Senior Financial Advisor,3.0,Culture of the 1950s,"Management weak, salary level poor, micromanaged, hard to find many positives.  Some parts of management very unprofessional.  Other banks better and more progressive."
21," Toronto, ON ", 2 November 2020,Financial Advisor,4.0,A Great Place to Start Your Career in Financial Services,"If you are just out of school or finishing a degree, Scotiabank is a great place to learn the fundamentals of customer service and financial products."
